model_method,example_id,reason,text
BanglaBERT_SHAP,3,"subword_count_mismatch (subwords=126, tokens=201)",আওয়ামীলীগ ভারতের দালাল। মোদি নির্বাচিত হওয়ার পর এক...
BanglaBERT_SHAP,167,"subword_count_mismatch (subwords=126, tokens=258)",প্রত্যাখান তো করেছে না কি এই শুয়োরের বাচ্চারা আইসি...
BanglaBERT_SHAP,274,"subword_count_mismatch (subwords=16, tokens=17)",���� বিশ্বাস করেন অনকে কেঁদে ছি সাকিব ভাইয়ে জন্য��...
BanglaBERT_SHAP,472,"subword_count_mismatch (subwords=126, tokens=379)",বাংলাদেশ অাওয়ামীলীগের চার বারের সফল সাধারণ সম্পাদক...
BanglaBERT_SHAP,517,"subword_count_mismatch (subwords=126, tokens=133)",মানসিক দুর্বলতা আছে।বাংলাদেশ এর দলের স্পিনাররা ফ্ল...
BanglaBERT_SHAP,602,"subword_count_mismatch (subwords=8, tokens=9)",����এই বয়সে না করলে কি বুড়ো বয়সে করবে������
BanglaBERT_SHAP,802,"subword_count_mismatch (subwords=6, tokens=7)",‌বিচারক না ওরা মাগীর বাচ্ছা
BanglaBERT_SHAP,927,"subword_count_mismatch (subwords=11, tokens=12)",� পৃথিবীর সকল মুসলমানের মৃত্যু যেন কলেমা পড়ে হয়।...
BanglaBERT_SHAP,1043,"subword_count_mismatch (subwords=126, tokens=174)",কবিরাজ আলহাজ্ব আলতাফ হোসেন আজাদী চ্যালেঞ্জ।সরাসরি ...
BanglaBERT_SHAP,1082,"subword_count_mismatch (subwords=126, tokens=166)",চ্যানেল আই কে উদ্দেশ্য করে বলতেছি আপনারা যাদের জাজ...
BanglaBERT_SHAP,1298,"subword_count_mismatch (subwords=126, tokens=271)",এটাই তো এখনার জুগের মেয়েরা বুঝে না যে তাদের সাধিনত...
BanglaBERT_SHAP,1409,"subword_count_mismatch (subwords=126, tokens=195)",ডিসি ষাঁড়ের ইন্টারভিউ এই ভিডিওগুলো কি আপনার ষাড় ...
BanglaBERT_SHAP,1492,"subword_count_mismatch (subwords=126, tokens=367)",মুসলিম হোক যাই হোক আমরা তো সবাই মানুষ ��ভিডিওটি দে...
BanglaBERT_SHAP,1636,"subword_count_mismatch (subwords=126, tokens=237)",কেউ দৌড়ে পালায় নিজের আত্মসম্ভ্রম আত্মসম্মান কিংবা ...
BanglaBERT_SHAP,1725,"subword_count_mismatch (subwords=126, tokens=179)",মদ ও জুয়া সম্পর্কে আল্লাহ পাক কি বলেছেন বলেছেন ? ...
BanglaBERT_SHAP,1759,"subword_count_mismatch (subwords=126, tokens=188)",রাজার দূষে রাজ্য নষ্ট প্রজা কষ্ট পায়। এ কথাটা যোগ ...
BanglaBERT_SHAP,1802,"subword_count_mismatch (subwords=14, tokens=15)",� খেয়েছে কে আর � প্রদানকারীর আজ কি হাল ! � বাংলাদে...
BanglaBERT_SHAP,2071,"subword_count_mismatch (subwords=126, tokens=315)",সত্য মিথ্যা যাচাই করে প্রচার করা উচিত। এই ভিডিও তে...
BanglaBERT_SHAP,2163,"subword_count_mismatch (subwords=126, tokens=167)",এখানে হয়তবা মানুষ কিছু দুনিয়াবি ফায়দা পাচ্ছে ও হয়ত...
