example_id,model,method,warning_type,details
0,BanglaBERT,IG,token_count_mismatch,"tokens=7, attributions=0"
1,BanglaBERT,IG,token_count_mismatch,"tokens=18, attributions=0"
1,BanglaBERT,IG,unk_token,"unk_count=3, total_tokens=18"
2,BanglaBERT,IG,token_count_mismatch,"tokens=15, attributions=0"
3,BanglaBERT,IG,token_count_mismatch,"tokens=128, attributions=0"
3,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.46, original_words=109, reconstructed=66"
3,BanglaBERT,IG,unk_token,"unk_count=15, total_tokens=128"
4,BanglaBERT,IG,token_count_mismatch,"tokens=15, attributions=0"
4,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.43, original_words=7, reconstructed=9"
4,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=15"
5,BanglaBERT,IG,token_count_mismatch,"tokens=59, attributions=0"
5,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=59"
6,BanglaBERT,IG,token_count_mismatch,"tokens=35, attributions=0"
6,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.31, original_words=16, reconstructed=15"
6,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=35"
7,BanglaBERT,IG,token_count_mismatch,"tokens=13, attributions=0"
8,BanglaBERT,IG,token_count_mismatch,"tokens=4, attributions=0"
9,BanglaBERT,IG,token_count_mismatch,"tokens=7, attributions=0"
9,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=7"
10,BanglaBERT,IG,token_count_mismatch,"tokens=57, attributions=0"
10,BanglaBERT,IG,unk_token,"unk_count=3, total_tokens=57"
11,BanglaBERT,IG,token_count_mismatch,"tokens=23, attributions=0"
12,BanglaBERT,IG,token_count_mismatch,"tokens=34, attributions=0"
13,BanglaBERT,IG,token_count_mismatch,"tokens=7, attributions=0"
14,BanglaBERT,IG,token_count_mismatch,"tokens=18, attributions=0"
14,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=18"
15,BanglaBERT,IG,token_count_mismatch,"tokens=12, attributions=0"
16,BanglaBERT,IG,token_count_mismatch,"tokens=16, attributions=0"
17,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
18,BanglaBERT,IG,token_count_mismatch,"tokens=57, attributions=0"
18,BanglaBERT,IG,unk_token,"unk_count=5, total_tokens=57"
19,BanglaBERT,IG,token_count_mismatch,"tokens=18, attributions=0"
20,BanglaBERT,IG,token_count_mismatch,"tokens=29, attributions=0"
20,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=29"
21,BanglaBERT,IG,token_count_mismatch,"tokens=37, attributions=0"
21,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=37"
22,BanglaBERT,IG,token_count_mismatch,"tokens=18, attributions=0"
23,BanglaBERT,IG,token_count_mismatch,"tokens=31, attributions=0"
23,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=31"
24,BanglaBERT,IG,token_count_mismatch,"tokens=23, attributions=0"
24,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.47, original_words=15, reconstructed=15"
24,BanglaBERT,IG,unk_token,"unk_count=3, total_tokens=23"
25,BanglaBERT,IG,token_count_mismatch,"tokens=37, attributions=0"
25,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.42, original_words=19, reconstructed=21"
25,BanglaBERT,IG,unk_token,"unk_count=4, total_tokens=37"
26,BanglaBERT,IG,token_count_mismatch,"tokens=8, attributions=0"
26,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=8"
27,BanglaBERT,IG,token_count_mismatch,"tokens=9, attributions=0"
28,BanglaBERT,IG,token_count_mismatch,"tokens=12, attributions=0"
29,BanglaBERT,IG,token_count_mismatch,"tokens=13, attributions=0"
29,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=13"
30,BanglaBERT,IG,token_count_mismatch,"tokens=43, attributions=0"
31,BanglaBERT,IG,token_count_mismatch,"tokens=11, attributions=0"
32,BanglaBERT,IG,token_count_mismatch,"tokens=12, attributions=0"
32,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=12"
33,BanglaBERT,IG,token_count_mismatch,"tokens=74, attributions=0"
33,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=74"
34,BanglaBERT,IG,token_count_mismatch,"tokens=16, attributions=0"
35,BanglaBERT,IG,token_count_mismatch,"tokens=55, attributions=0"
35,BanglaBERT,IG,unk_token,"unk_count=4, total_tokens=55"
36,BanglaBERT,IG,token_count_mismatch,"tokens=18, attributions=0"
37,BanglaBERT,IG,token_count_mismatch,"tokens=31, attributions=0"
37,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=31"
38,BanglaBERT,IG,token_count_mismatch,"tokens=32, attributions=0"
38,BanglaBERT,IG,unk_token,"unk_count=1, total_tokens=32"
39,BanglaBERT,IG,token_count_mismatch,"tokens=16, attributions=0"
40,BanglaBERT,IG,token_count_mismatch,"tokens=20, attributions=0"
41,BanglaBERT,IG,token_count_mismatch,"tokens=26, attributions=0"
41,BanglaBERT,IG,word_reconstruction_fail,"overlap=0.42, original_words=12, reconstructed=13"
41,BanglaBERT,IG,unk_token,"unk_count=3, total_tokens=26"
42,BanglaBERT,IG,token_count_mismatch,"tokens=20, attributions=0"
43,BanglaBERT,IG,token_count_mismatch,"tokens=26, attributions=0"
43,BanglaBERT,IG,unk_token,"unk_count=2, total_tokens=26"
44,BanglaBERT,IG,token_count_mismatch,"tokens=27, attributions=0"
